"WL","Baseline","1003-1","1003-2","1003-3","0104-1","0104-2","0104-3","2004-1","2004-2","2004-3","0405-1","0405-2","0405-3","1105-1","1105-2","1105-3","1805-1","1805-2","1805-3"
"3,920000000000000e+2","-3,532080167322940e-2","2,764123120671590e-1","2,478250821356260e-1","2,578819018628990e-1","1,389990492512880e-1","1,771076788331750e-1","1,316887894321500e-1","1,198247960946280e-1","1,367221468959620e-1","1,210343799829060e-1","9,175271924243130e-2","1,056622633472330e-1","1,024068147221630e-1","9,019581932791200e-2","8,770944592666829e-2","9,572789397531840e-2","8,373955044331710e-2","7,800750132406869e-2","7,099874172953779e-2"
"3,930000000000000e+2","-3,517486111196060e-2","2,798056800133580e-1","2,507833840672520e-1","2,614222919313000e-1","1,405636260690510e-1","1,786695565398580e-1","1,329749659728450e-1","1,214795297337340e-1","1,384046611719780e-1","1,225855425878710e-1","9,310858188840811e-2","1,070219381596390e-1","1,042250913221210e-1","9,158666953181370e-2","8,933045438985850e-2","9,725653011936400e-2","8,507564823594920e-2","7,914426047902600e-2","7,252514910539630e-2"
"3,940000000000000e+2","-3,472486893123270e-2","2,828532424280960e-1","2,542140917678650e-1","2,645032645202070e-1","1,421230460799050e-1","1,798435387408930e-1","1,344245599666570e-1","1,225454202117680e-1","1,394703388089870e-1","1,238354438742280e-1","9,465767608610360e-2","1,082092777412580e-1","1,058520263976320e-1","9,292875417384890e-2","9,125157781727771e-2","9,838416907035299e-2","8,614097348462530e-2","8,007771350360469e-2","7,348733245335470e-2"
"3,950000000000000e+2","-3,454618506334660e-2","2,871734830251860e-1","2,582921968274180e-1","2,680461395487520e-1","1,439037665191100e-1","1,816565963486080e-1","1,365626068783470e-1","1,244916751752400e-1","1,413946412464870e-1","1,260149584392470e-1","9,632425401268670e-2","1,100375454338750e-1","1,070879066819520e-1","9,426242438494869e-2","9,277400873634061e-2","1,001240246521660e-1","8,772136821471629e-2","8,161838857510829e-2","7,525199587806811e-2"
"3,960000000000000e+2","-3,397384285825580e-2","2,914601766588670e-1","2,622425180216300e-1","2,719470826009640e-1","1,458537992390970e-1","1,832482008314480e-1","1,380331793462440e-1","1,263131406123280e-1","1,432811353412470e-1","1,278361575248970e-1","9,792815425308570e-2","1,112586504232460e-1","1,093794067030870e-1","9,571648815593710e-2","9,439014016010341e-2","1,012367813248720e-1","8,880112073485770e-2","8,286555102281250e-2","7,632512807155430e-2"
"3,970000000000000e+2","-3,354103770988210e-2","2,964474807219510e-1","2,675273864177810e-1","2,770329594104500e-1","1,478714867800940e-1","1,856331054742740e-1","1,405728126228200e-1","1,284797525640210e-1","1,453604489395810e-1","1,297036201680880e-1","9,983205607602549e-2","1,134542785774830e-1","1,113997347464270e-1","9,729901980019910e-2","9,649758683830930e-2","1,028109217893810e-1","9,036761163132880e-2","8,409169628190050e-2","7,781057207819101e-2"
"3,980000000000000e+2","-3,327351579007040e-2","3,021167602745380e-1","2,732027395094080e-1","2,824550994333360e-1","1,501135615227010e-1","1,877513913303060e-1","1,427585500785690e-1","1,311357373122510e-1","1,478588830322270e-1","1,324480763631500e-1","1,026773836794110e-1","1,154427526028970e-1","1,140939120131770e-1","9,944179999589179e-2","9,888931289243579e-2","1,047345088368240e-1","9,194020838157590e-2","8,635887041273859e-2","7,984123456671550e-2"
"3,990000000000000e+2","-3,284890183367800e-2","3,087682893533560e-1","2,796499696330780e-1","2,895463699836260e-1","1,534791483492500e-1","1,917607007347780e-1","1,456279550306910e-1","1,343708481808820e-1","1,515050401107340e-1","1,356630257231940e-1","1,054181769563350e-1","1,180992609153140e-1","1,171311089389360e-1","1,014595364177420e-1","1,018306220753330e-1","1,066211264539320e-1","9,415610569745370e-2","8,812376606067370e-2","8,152165714383600e-2"
"4,000000000000000e+2","-3,247082259748540e-2","3,160552639618910e-1","2,860436337245220e-1","2,960236581893580e-1","1,559258662303970e-1","1,939999494559530e-1","1,487386920683310e-1","1,374686738339840e-1","1,541402791996980e-1","1,389611032290860e-1","1,083078656927640e-1","1,207170686667780e-1","1,201637656026320e-1","1,040593818797080e-1","1,044115722761370e-1","1,093556145853780e-1","9,649245950865280e-2","9,063623789684059e-2","8,406115236346370e-2"
"4,010000000000000e+2","-3,212986562036680e-2","3,237383755865430e-1","2,938077402298260e-1","3,029654300816040e-1","1,590895532249590e-1","1,968030424163340e-1","1,516529911185280e-1","1,410454490099740e-1","1,572079278299650e-1","1,424375959113390e-1","1,108888571379440e-1","1,233085595029320e-1","1,234546517270050e-1","1,061555439704970e-1","1,072295904837990e-1","1,118759285769650e-1","9,857717880288390e-2","9,266987934826650e-2","8,650134901824221e-2"
"4,020000000000000e+2","-3,141029058765970e-2","3,313585107360490e-1","3,005625725451370e-1","3,103783029806640e-1","1,622214592898610e-1","1,989906569185460e-1","1,546145565199880e-1","1,440632540119160e-1","1,600867957930360e-1","1,453719175926160e-1","1,141560676990890e-1","1,257847220491590e-1","1,264270184276670e-1","1,082273845008220e-1","1,097929337694640e-1","1,141546510107800e-1","1,004311056994390e-1","9,465703093254150e-2","8,836415198514630e-2"
"4,030000000000000e+2","-3,102310508672480e-2","3,391047926347770e-1","3,079232000086700e-1","3,176417659901460e-1","1,648852389229160e-1","2,012280049845520e-1","1,580354141101130e-1","1,473493663636230e-1","1,635792154624430e-1","1,484979478987120e-1","1,169628983678390e-1","1,283867267596520e-1","1,296083745142690e-1","1,111392375768290e-1","1,126196591538040e-1","1,163290451925880e-1","1,025336407588530e-1","9,659882215309880e-2","9,086131049821430e-2"
"4,040000000000000e+2","-3,050114757737270e-2","3,462770430239210e-1","3,145746614085610e-1","3,242898709384560e-1","1,671374643221830e-1","2,037973377903080e-1","1,604092169490190e-1","1,503478135007560e-1","1,667486366103790e-1","1,517971950447330e-1","1,194650174330580e-1","1,308015852869350e-1","1,323696026811160e-1","1,131560660385790e-1","1,151694122213510e-1","1,184942635424230e-1","1,044556274644110e-1","9,845872725651541e-2","9,269411192059571e-2"
