"WL","Baseline","1506-1","1506-2","1506-3","2306-1","2306-2","2306-3","2906-1","2906-2","2906-3","0607-1","0607-2","0607-3","1307-1","1307-2","1307-3","2007-1","2007-2","2007-3","2707-1","2707-2","2707-3","0308-1","0308-2","0308-3"
"3,800000000000000e+2","-3,628067304395260e-2","1,900145840860500e-1","1,758521329593830e-1","1,713557119741960e-1","1,834173679511060e-1","1,892075296604560e-1","1,989645705870510e-1","2,112082063077760e-1","1,899583775145010e-1","1,880119903489760e-1","2,014812477013260e-1","1,731590696088210e-1","2,119517562131750e-1","1,908412642558060e-1","1,904344454038690e-1","1,982509849607930e-1","1,977960178477440e-1","2,098584707099160e-1","1,987808865137610e-1","2,869360508326650e-1","2,758414374835000e-1","2,765437165541700e-1","1,890701470400710e-1","1,917577659605650e-1","1,859012869679860e-1"
"3,810000000000000e+2","-3,572114415043300e-2","1,911214576639240e-1","1,770799223023490e-1","1,719704879476620e-1","1,846616981820260e-1","1,904310158927760e-1","2,000799504251530e-1","2,127286918266570e-1","1,925143938639360e-1","1,900887954500680e-1","2,029131715134740e-1","1,749124009083090e-1","2,133484590042160e-1","1,934482774033720e-1","1,919893660960710e-1","2,002040559876820e-1","1,989223586765130e-1","2,109606217428250e-1","2,012408616614250e-1","2,890226640346320e-1","2,751790532258680e-1","2,784432687065490e-1","1,904924551172040e-1","1,929735809528050e-1","1,883551143004860e-1"
"3,820000000000000e+2","-3,544401485845140e-2","1,922050144354090e-1","1,782811131653430e-1","1,735099586813380e-1","1,861833985777470e-1","1,920142408077490e-1","2,015938498884860e-1","2,143976461491400e-1","1,942891118594290e-1","1,900365265644580e-1","2,065345575715200e-1","1,763993408703310e-1","2,150007717110370e-1","1,952561523284250e-1","1,937829289112410e-1","2,020359817916120e-1","2,006531848761830e-1","2,107584939611190e-1","2,067623893720460e-1","2,899210737427510e-1","2,776248781339380e-1","2,806242360168630e-1","1,922285480473120e-1","1,947989126244660e-1","1,894579429000320e-1"
"3,830000000000000e+2","-3,511020172801090e-2","1,932373652513460e-1","1,793171511090140e-1","1,746437360886390e-1","1,874164922844730e-1","1,932267200194000e-1","2,026978008823540e-1","2,159593080354240e-1","1,959851907706420e-1","1,927600917861400e-1","2,104488366244890e-1","1,778821053502470e-1","2,164424010560850e-1","1,969416716102070e-1","1,939878794552780e-1","2,049097655443310e-1","2,024502343125570e-1","2,110513622196100e-1","2,077964144915230e-1","2,916796472227670e-1","2,809822972924750e-1","2,827434170817350e-1","1,936155657690700e-1","1,967945969098630e-1","1,906706145348730e-1"
"3,840000000000000e+2","-3,501817050743160e-2","1,948916331054430e-1","1,812288967687440e-1","1,761374183377000e-1","1,883583821344880e-1","1,948142318050460e-1","2,041996486632530e-1","2,178641975079340e-1","1,980919574070490e-1","1,946244654735620e-1","2,122960508058700e-1","1,793563737707810e-1","2,183737822373860e-1","1,989423838208590e-1","1,952272910819550e-1","2,070251871212600e-1","2,045638753972270e-1","2,130693877461290e-1","2,085543417549900e-1","2,942498698906990e-1","2,828439587498810e-1","2,853590294224740e-1","1,957156538873950e-1","1,986960174505220e-1","1,925973609084500e-1"
"3,850000000000000e+2","-3,443110647317170e-2","1,957410445399420e-1","1,822964496383850e-1","1,772848044577090e-1","1,889624648990760e-1","1,959103057807680e-1","2,050701405867980e-1","2,192254425745090e-1","1,985450159454290e-1","1,979672357582080e-1","2,135406542849520e-1","1,809306603928830e-1","2,198707557238740e-1","2,006017162266090e-1","1,968568510607430e-1","2,088328989641400e-1","2,058886546394040e-1","2,176482823851330e-1","2,101999717937330e-1","2,973889767314050e-1","2,844703489767260e-1","2,874805252669110e-1","1,969566486230380e-1","1,994285523116160e-1","1,950889639087100e-1"
"3,860000000000000e+2","-3,433771191221720e-2","1,973313052215890e-1","1,835281032878530e-1","1,787697265200330e-1","1,918332600693910e-1","1,963373017018930e-1","2,065599227907380e-1","2,211695253632590e-1","2,043380774713250e-1","2,003411459302690e-1","2,153982472909900e-1","1,827200747507960e-1","2,216410698171750e-1","2,025017091610730e-1","1,988435611536560e-1","2,103478818910470e-1","2,076912980808780e-1","2,195329072133500e-1","2,139016584869890e-1","3,010837128745310e-1","2,868021797633550e-1","2,900505515777860e-1","1,988080153601390e-1","1,988364962817060e-1","1,981225217840170e-1"
"3,870000000000000e+2","-3,368512047612770e-2","1,977864148466560e-1","1,848773374242560e-1","1,795525313634090e-1","1,927102744589180e-1","1,953945232535330e-1","2,073319313826300e-1","2,237244122026900e-1","2,055234232037210e-1","2,014877257830990e-1","2,171449161679370e-1","1,841703322958410e-1","2,229774921060690e-1","2,042005044948550e-1","1,995116091694680e-1","2,122278023189800e-1","2,087758074682660e-1","2,202688754823110e-1","2,149701947696270e-1","3,026181065146150e-1","2,921201310685680e-1","2,915548013234600e-1","2,003458270363600e-1","2,008876661888470e-1","1,990683291111130e-1"
"3,880000000000000e+2","-3,292086083446430e-2","1,985711952371500e-1","1,860686059993780e-1","1,808683050418910e-1","1,970459907172880e-1","1,961174720073120e-1","2,095979526005500e-1","2,262280550766290e-1","2,066751912641430e-1","2,026119739716510e-1","2,183156035370010e-1","1,853182160319600e-1","2,243697409082780e-1","2,055004689572770e-1","2,015219307632230e-1","2,138362941727510e-1","2,101369670816050e-1","2,198238943388430e-1","2,167131343315350e-1","3,044563766172190e-1","2,937128866902260e-1","2,937288804032990e-1","2,012973719977250e-1","2,038231287613350e-1","2,015162213068270e-1"
"3,890000000000000e+2","-3,212917458491390e-2","1,995369698272550e-1","1,872833089622770e-1","1,815501080394120e-1","1,983073560801230e-1","2,003485993674350e-1","2,118604095778890e-1","2,275501060753050e-1","2,077708878222120e-1","2,038817444872460e-1","2,197341375647880e-1","1,864840702351620e-1","2,258040682949760e-1","2,071855115440910e-1","2,054255484928060e-1","2,154451903478940e-1","2,113672678909320e-1","2,261451938137820e-1","2,181093858762140e-1","3,066496806644210e-1","2,953701654819430e-1","2,958966762959410e-1","2,029207964549230e-1","2,051502899190300e-1","2,031853336519580e-1"
"3,900000000000000e+2","-3,182331041923750e-2","2,010278879018650e-1","1,888572255223180e-1","1,833645133391390e-1","1,997535850483520e-1","1,973368637251920e-1","2,135983083787000e-1","2,299209039971850e-1","2,094866105007210e-1","2,056877495176040e-1","2,222272628957310e-1","1,889235633327350e-1","2,281557500915040e-1","2,094307081451440e-1","2,077956173613700e-1","2,178063544055300e-1","2,134583021369580e-1","2,280564553053420e-1","2,200516244104240e-1","3,095442461439190e-1","2,980760563878740e-1","2,984562149250570e-1","2,046489680939580e-1","2,081056200267860e-1","2,054287480282720e-1"
"3,910000000000000e+2","-3,159480680040520e-2","2,029599628471490e-1","1,909211317229570e-1","1,851400535905100e-1","2,020389466195080e-1","1,992659929090820e-1","2,158405172434940e-1","2,321142773124690e-1","2,116811513284340e-1","2,081833409361140e-1","2,244195139414230e-1","1,907767264278750e-1","2,305797499179230e-1","2,120959570343460e-1","2,101959743158260e-1","2,204674042345980e-1","2,159040707331820e-1","2,303779873663690e-1","2,225531577185310e-1","3,142227890695650e-1","3,013136866952000e-1","3,022164775714090e-1","2,073732408371320e-1","2,113570985418820e-1","2,079181212749910e-1"
"3,920000000000000e+2","-3,118213976898120e-2","2,048513507746270e-1","1,929198690683970e-1","1,869531545736850e-1","2,040703013112180e-1","2,018452450626480e-1","2,171498209867060e-1","2,347718290213920e-1","2,140141766338630e-1","2,102361388966870e-1","2,269242008976200e-1","1,930176474556080e-1","2,329006266019960e-1","2,137849373914610e-1","2,126357361568160e-1","2,232365737503640e-1","2,184107216546250e-1","2,336306111629980e-1","2,250276091356320e-1","3,184557775733200e-1","3,052499663388270e-1","3,059610318577860e-1","2,096887700347980e-1","2,138947291551350e-1","2,107635024219860e-1"
"3,930000000000000e+2","-3,111599036304920e-2","2,074072864327800e-1","1,955583625337600e-1","1,892739134803310e-1","2,071078898818510e-1","2,106407699669590e-1","2,204843453846040e-1","2,379776108559590e-1","2,171689831542450e-1","2,133717690175650e-1","2,302469388341410e-1","1,962662725296120e-1","2,363071288245560e-1","2,165747743344220e-1","2,159455120958870e-1","2,269381217621380e-1","2,218683765144090e-1","2,373072483461670e-1","2,283155867751600e-1","3,229812435284050e-1","3,098861154021210e-1","3,110097374027660e-1","2,133641678175420e-1","2,171679272663960e-1","2,139176460586110e-1"
"3,940000000000000e+2","-3,073417290855070e-2","2,100926251684750e-1","1,982263852305440e-1","1,920613230416990e-1","2,101299479671320e-1","2,141762341835640e-1","2,237531865911810e-1","2,411737639704730e-1","2,199929598317960e-1","2,164398271551480e-1","2,337745371950960e-1","1,995034396384460e-1","2,400049231256790e-1","2,203909992047630e-1","2,197032158630450e-1","2,310066278213610e-1","2,257853554654600e-1","2,412268786699200e-1","2,320288336098230e-1","3,283521993166380e-1","3,154072606154600e-1","3,167992464454830e-1","2,171931790371710e-1","2,209964285172080e-1","2,177155338424300e-1"
